,0
356,"tensor(674.0978, dtype=torch.float64)"
357,"tensor(124.7136, dtype=torch.float64)"
358,"tensor(452.1095, dtype=torch.float64)"
359,"tensor(43.9112, dtype=torch.float64)"
360,"tensor(37.7749, dtype=torch.float64)"
361,"tensor(84.0862, dtype=torch.float64)"
362,"tensor(131.3434, dtype=torch.float64)"
363,"tensor(86.8977, dtype=torch.float64)"
364,"tensor(367.3718, dtype=torch.float64)"
365,"tensor(162.1697, dtype=torch.float64)"
366,"tensor(189.8522, dtype=torch.float64)"
367,"tensor(92.0117, dtype=torch.float64)"
368,"tensor(114.9834, dtype=torch.float64)"
369,"tensor(113.9073, dtype=torch.float64)"
370,"tensor(89.3440, dtype=torch.float64)"
371,"tensor(28.6377, dtype=torch.float64)"
372,"tensor(221.3738, dtype=torch.float64)"
373,"tensor(72.8067, dtype=torch.float64)"
374,"tensor(24.8980, dtype=torch.float64)"
375,"tensor(46.0058, dtype=torch.float64)"
376,"tensor(66.2067, dtype=torch.float64)"
377,"tensor(98.4299, dtype=torch.float64)"
378,"tensor(108.4800, dtype=torch.float64)"
379,"tensor(83.4662, dtype=torch.float64)"
380,"tensor(14.4020, dtype=torch.float64)"
381,"tensor(221.5643, dtype=torch.float64)"
382,"tensor(8.4547, dtype=torch.float64)"
383,"tensor(66.5076, dtype=torch.float64)"
384,"tensor(61.4154, dtype=torch.float64)"
385,"tensor(216.8684, dtype=torch.float64)"
386,"tensor(127.0086, dtype=torch.float64)"
387,"tensor(114.4977, dtype=torch.float64)"
388,"tensor(148.1589, dtype=torch.float64)"
389,"tensor(26.3056, dtype=torch.float64)"
390,"tensor(84.3717, dtype=torch.float64)"
391,"tensor(92.5667, dtype=torch.float64)"
392,"tensor(59.8451, dtype=torch.float64)"
393,"tensor(103.1523, dtype=torch.float64)"
394,"tensor(15.4352, dtype=torch.float64)"
395,"tensor(29.0994, dtype=torch.float64)"
396,"tensor(195.4102, dtype=torch.float64)"
397,"tensor(36.1507, dtype=torch.float64)"
398,"tensor(86.0007, dtype=torch.float64)"
399,"tensor(86.3946, dtype=torch.float64)"
400,"tensor(61.3036, dtype=torch.float64)"
401,"tensor(171.2824, dtype=torch.float64)"
402,"tensor(71.8933, dtype=torch.float64)"
403,"tensor(103.9664, dtype=torch.float64)"
404,"tensor(68.7447, dtype=torch.float64)"
405,"tensor(585.4189, dtype=torch.float64)"
406,"tensor(135.0783, dtype=torch.float64)"
407,"tensor(156.1619, dtype=torch.float64)"
408,"tensor(61.9240, dtype=torch.float64)"
409,"tensor(23.7518, dtype=torch.float64)"
410,"tensor(10.2260, dtype=torch.float64)"
411,"tensor(56.7212, dtype=torch.float64)"
412,"tensor(276.3228, dtype=torch.float64)"
413,"tensor(70.7265, dtype=torch.float64)"
414,"tensor(134.6074, dtype=torch.float64)"
415,"tensor(6.9838, dtype=torch.float64)"
416,"tensor(130.2899, dtype=torch.float64)"
417,"tensor(9.9166, dtype=torch.float64)"
418,"tensor(161.8099, dtype=torch.float64)"
419,"tensor(474.0128, dtype=torch.float64)"
420,"tensor(246.2113, dtype=torch.float64)"
421,"tensor(231.9725, dtype=torch.float64)"
422,"tensor(77.2388, dtype=torch.float64)"
423,"tensor(195.4875, dtype=torch.float64)"
424,"tensor(264.8256, dtype=torch.float64)"
425,"tensor(108.6931, dtype=torch.float64)"
426,"tensor(344.7422, dtype=torch.float64)"
427,"tensor(69.8889, dtype=torch.float64)"
428,"tensor(119.8869, dtype=torch.float64)"
429,"tensor(133.6758, dtype=torch.float64)"
430,"tensor(73.3943, dtype=torch.float64)"
431,"tensor(5.8242, dtype=torch.float64)"
432,"tensor(81.7018, dtype=torch.float64)"
433,"tensor(101.9742, dtype=torch.float64)"
434,"tensor(5.8588, dtype=torch.float64)"
435,"tensor(18.2425, dtype=torch.float64)"
436,"tensor(46.3282, dtype=torch.float64)"
437,"tensor(81.2021, dtype=torch.float64)"
438,"tensor(97.3513, dtype=torch.float64)"
439,"tensor(43.1402, dtype=torch.float64)"
440,"tensor(10.8376, dtype=torch.float64)"
441,"tensor(5.8859, dtype=torch.float64)"
442,"tensor(76.3676, dtype=torch.float64)"
443,"tensor(103.7944, dtype=torch.float64)"
444,"tensor(113.7108, dtype=torch.float64)"
445,"tensor(213.4828, dtype=torch.float64)"
446,"tensor(114.9723, dtype=torch.float64)"
447,"tensor(153.1565, dtype=torch.float64)"
448,"tensor(70.8926, dtype=torch.float64)"
449,"tensor(67.5145, dtype=torch.float64)"
450,"tensor(628.1665, dtype=torch.float64)"
451,"tensor(159.1383, dtype=torch.float64)"
